idioms,Literals,equivalents,explanations,tr_sentences,en_sentences
Zaman her şeyin ilacıdır.,Time is the medicine of everything.,Time is the best medicine.,"As time passes, all the troubles we experience are forgotten or the sorrow we feel decreases.","Üzülme, bugünler de geçecek; zaman her şeyin ilacıdır.","“Don’t worry, these days will be over, too; time is the best medicine.”"
"Sakla samanı, gelir zamanı.","Save the hay, its time will come.",Keep a thing seven years and you’ll find a use for it.,"If you hold onto something you have for long enough, it will eventually become useful.","İyi ki kızımın bebek arabasını saklamışım, şimdi senin çok işine yarayacak. Eee, sakla samanı gelir zamanı.","“Fortunately, I saved my daughter’s stroller. It will be very useful for you now. See, keep a thing for seven years and you’ll find a use for it.”  "
Vakit nakittir.,Time is cash.,Time is money.,This proverb emphasizes that time is a valuable resource.,"Bir an önce işe gitmeliyim. Eee, ne de olsa vakit nakittir.","“I have to go to work as soon as possible. Well, after all, time is money.”  "
Bugünün işini yarına bırakma.,Don’t leave today’s work for tomorrow.,Never put off till tomorrow what you can do today.,This one emphasizes that one should not delay doing something that can be done today. ,Ödevimi yarın yaparım deyince babam bugünün işini yarına bırakma dedi.,"“When I said I would do my homework tomorrow, my father said ‘Never put off till tomorrow what you can do today.’ “"
Sona kalan dona kalır.,"The one who stays the last, is left for the frost.",The devil takes the hindmost.,The people who lag behind will either lose or not have any benefits.,"Ali amca çocuklara şeker veriyor, koşun; sona kalan dona kalır.","“Uncle Ali is giving candy to the children, run; the devil takes the hindmost.”"
Erken kalkan yol alır.,The one who gets up early proceeds.,The early bird catches the worm.,"This proverb advises that if someone does something immediately (or before anyone else), he/she will have an advantage.","Daha 5 saatlik yolumuz var, artık yola çıksak iyi olur. Ne de olsa, erken kalkan yol alır.","“We have five more hours to go, we’d better get going. After all, the early bird catches the worm.”"
Çıkmadık candan umut kesilmez.,"If the person didn’t die, there is still hope.","While there’s life, there’s hope.","If something didn’t fail completely, there is still a chance to save it.","Üzülme, son aday henüz açıklanmadı. Çıkmadın candan umut kesilmez.","“Don’t worry, the last candidate has not been announced yet. While there’s life, there’s hope.”"
Gün doğmadan neler doğar.,"Before the sun rises, a lot of things rise.",Tomorrow is another day.,"A person should never lose hope, because nobody knows what’s going to happen tomorrow.",Öyle hemen umudunu kaybetme. Gün doğmadan neler doğar.,“Don’t lose your hope. Tomorrow is another day.”
Bana arkadaşını söyle sana kim olduğunu söyleyeyim.,"Tell me who your friend is, I will tell you who you are.","Tell me who you go with, and I’ll tell you who you are.",This proverb means that a person’s friends are a reflection of who he/she is.,"John o gruba girdiğinden beri her gün kavga ediyor. Eee, ne demişler ‘Bana arkadaşını söyle sana kim olduğunu söyleyeyim.’","“Since John got into that group, he’s been fighting every day. Well, they say, ‘Tell me who you go with, and I’ll tell you who you are.’ ”  "
Dost kara günde belli olur.,A real friend is understood on a bad day.,A friend in need is a friend indeed.,A person who stays by your side during difficult times is someone you can really rely on.,"İflas ettiğinden beri Mary dışında hiçbir arkadaşı yanında değil.  Eee, dost kara günde belli olur.","“Since she went bankrupt, none of her friends are with her except for Mary. Well, a friend in need is a friend indeed.”"
